Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,26.467674556,211.32935340390742,0.0,0.0
2,54.106753243,169.4311355489088,0.0,0.0
3,81.905770029,151.03029599390484,0.0,0.0
4,109.709429097,141.24511820255162,0.0,0.0
5,137.515133079,134.99915498325245,0.0,0.0
6,165.321629521,131.2997782810548,0.0,0.0
7,193.110665277,129.46578155960108,0.0,0.0
8,220.942037223,127.77662617420248,0.0,0.0
9,248.746933995,126.71819773340944,0.0,0.0
10,276.550653061,125.00280705973833,0.0,0.0
11,304.33645783099996,122.33787931439475,0.0,0.0
12,332.161608184,121.23583632798339,0.0,0.0
13,359.969353767,120.62087066895332,0.0,0.0
14,387.76676134599995,119.3782151523821,0.0,0.0
15,415.579513601,120.13595566831864,0.0,0.0
16,441.80879907599996,119.14346752627561,0.0,0.0
17,469.60271659499995,118.82961685585671,0.0,0.0
18,497.417136127,119.2886505023152,0.0,0.0
19,523.664667351,117.90414169843802,0.0,0.0
20,551.461728188,118.2668925486796,0.0,0.0
21,577.6981646820001,118.38875803359112,0.0,0.0
22,603.94469814,118.56116225930569,0.0,0.0
23,630.1857704070001,118.8182041034969,0.0,0.0
24,656.4293530250001,116.63739706519536,0.0,0.0
25,684.476688669,116.54022603398187,0.0,0.0
26,712.2908821340001,116.25502205367363,0.0,0.0
27,740.106306703,115.96670110204207,0.0,0.0
28,767.9193614870001,116.16610743163821,0.0,0.0
29,794.157074435,116.88878850329003,0.0,0.0
30,820.395117059,116.14663255019128,0.0,0.0
31,846.635729892,116.48280800944706,0.0,0.0
32,872.871368921,115.43348146800307,0.0,0.0
33,900.706249222,115.67798851087326,0.0,0.0
34,926.944590927,116.25530684577112,0.0,0.0
35,953.182534112,116.3135688805658,0.0,0.0
36,979.4142008260001,115.25078787487392,0.0,0.0
37,1007.2139321860001,115.25023566802693,0.0,0.0
38,1035.011537755,114.10984436483308,0.0,0.0
39,1062.811506989,114.7811816490373,0.0,0.0
40,1089.0432342670001,114.96429966452273,0.0,0.0
41,1115.286423886,114.15588090292319,0.0,0.0
42,1141.531739576,113.23669141291928,0.0,0.0
43,1169.326258139,112.96753228409223,0.0,0.0
44,1197.140747463,114.37819712653898,0.0,0.0
45,1223.3823140490001,114.13427911263324,0.0,0.0
46,1249.61733293,112.79147142823577,0.0,0.0
47,1277.421528975,112.88214876070833,0.0,0.0
48,1303.670324825,112.64421281583633,0.0,0.0
49,1331.49676774,112.18521817264195,0.0,0.0
50,1359.340712852,112.14329760816902,0.0,0.0
51,1387.157147997,113.16749115376938,0.0,0.0
52,1413.394949365,113.31698104210986,0.0,0.0
53,1439.6420762980001,113.64354549028383,0.0,0.0
54,1465.884908593,110.72267729845576,0.0,0.0
55,1493.723310387,109.05381239809331,0.0,0.0
56,1521.5553469440001,108.54925542966093,0.0,0.0
57,1549.408047856,107.82844636404157,0.0,0.0
58,1577.239758889,107.42335601436194,0.0,0.0
59,1605.036889109,107.02774177958193,0.0,0.0
60,1632.870226989,106.80542987856543,0.0,0.0
61,1660.699108769,106.47965067743128,0.0,0.0
62,1688.560848091,106.31982376687615,0.0,0.0
