Epoch,Total Runtime,Training Perplexity,DEQ Validation Perplexity,Unrolled Validation Perplexity,Average Convergence Gap,Maximum Convergence Gap,Average Absolute Convergence Gap,Maximum Absolute Convergence Gap
1,157.922272889,399.52289859959603,215.15493886215828,215.15493459460055,0.00024954711452576634,0.028544165194034576,0.6481794620764036,76.55717468261719
2,316.881759171,232.49827216873783,166.68406173821776,166.68416397879903,0.0002162310408097078,0.02528727799654007,0.32259793242506196,38.377193450927734
3,475.939108812,190.6016087700138,143.98671681148502,143.98668650193318,0.00023473152197120415,0.02889508195221424,0.20530995014620368,24.8815860748291
4,634.920416652,166.86764197679378,130.23455031347638,130.23455343215008,0.0002866305795331161,0.03462547808885574,0.1566592001386136,19.65245819091797
5,793.987271683,153.281984195516,122.8544070313591,122.8546289132566,0.00037525773175277734,0.04784214124083519,0.1636084480498733,20.754169464111328
6,953.1095606929999,141.55727264257308,118.02923350848059,118.02932980444534,0.00035033910958282965,0.04345511272549629,0.15165443374896115,20.123292922973633
7,1112.229058174,134.42177472527712,114.40835859865007,114.40842301393465,0.0006234179290241944,0.08911512792110443,0.28236897138228056,41.75857162475586
8,1271.351500943,128.0806108327609,112.51905101924143,112.51916361869995,0.0003700724571734785,0.04686460644006729,0.18107166478545828,24.51527976989746
9,1430.4864547420002,124.44626831246242,108.30862328764766,108.30851014863188,0.001043210583609429,0.15801985561847687,0.5010762181818127,73.85771942138672
10,1589.5807690610002,120.68090442352842,107.65253452868481,107.65254068950331,0.0008000456933357418,0.10833632200956345,0.39272895511768086,51.25536346435547
11,1748.677316581,116.69395930044622,105.62812123368056,105.62800695306206,0.0009213599923233826,0.13378237187862396,0.4455230551936426,63.41065979003906
12,1907.7545648950002,114.37318220818423,104.8337496924854,104.83364331997208,0.0006227127294897535,0.08606622368097305,0.3183580327495602,43.75740051269531
13,2066.850927142,111.95348363269962,103.4381499252355,103.43803722219883,0.0007332068843181858,0.0989009290933609,0.37450092602619167,50.07648468017578
14,2225.969028853,109.4722046348716,101.27202519716892,101.27207694965901,0.0018084427075438026,0.24849465489387512,0.8518648007420451,115.20577239990234
15,2385.097951794,108.16471960317065,100.75971742498764,100.75971362331296,0.0016331457947564942,0.21654677391052246,0.8192838772988331,107.15328979492188
16,2544.2287226149997,106.4636031385922,99.55393060626014,99.55401671525034,0.0018023905224148172,0.24184046685695648,0.8584453169620311,111.41966247558594
17,2703.336233394,104.73172011945547,101.28834622533542,101.28840038286513,0.001536856850869705,0.1944565325975418,0.8328170155721176,104.33702850341797
