Epoch,Total Runtime,Training Perplexity,DEQ Validation Perplexity,Unrolled Validation Perplexity,Average Convergence Gap,Maximum Convergence Gap,Average Absolute Convergence Gap,Maximum Absolute Convergence Gap
46,7303.576328724001,89.86308383022794,88.66373236114613,88.66372860084543,0.000922897308248651,0.1270824372768402,0.4631909156764974,61.837547302246094
47,7462.730419547001,89.59860371650633,88.4638716242729,88.46372515224988,0.0011149177249868312,0.15050342679023743,0.5630067543647534,73.55577850341797
48,7621.835144803001,88.70462411054268,89.74883582703447,89.74861676889267,0.0008549387394764514,0.11009487509727478,0.4545174547025067,57.180885314941406
49,7779.562129683,88.84208614734715,88.18639837751589,88.18638711629723,0.0013968583625318094,0.1849672943353653,0.7051299388047005,91.78462219238281
50,7938.663518086,88.37263268120353,89.14834232614965,89.1483297663397,0.0008903584101142047,0.11801343411207199,0.4502681653769455,58.075748443603516
51,8096.363082406,88.36183532263045,88.75013424084526,88.7499756908403,0.0013977684506082672,0.1956133246421814,0.7003128496140356,95.00639343261719
52,8254.075932632999,88.03252970764528,89.43728396468207,89.43726466146644,0.0011246935033353421,0.1578105390071869,0.5720788910277876,79.7862548828125
53,8411.796613904,88.25901517330225,88.4959341268123,88.49604307220821,0.0010584372364619372,0.143018439412117,0.5205710350196747,68.45474243164062
54,8569.505563457999,87.67334482165354,89.599815644722,89.59985473608047,0.0005948475382580042,0.07189278304576874,0.31836534013225276,39.22218704223633
55,8727.217279450999,88.24728479936894,89.34785108769121,89.34783597202329,0.0007654542457068896,0.09814535826444626,0.3918005578513647,49.56058120727539
56,8884.961513262,87.86143925414936,88.03095978691714,88.03102121836308,0.0010002758215555848,0.13206472992897034,0.49567685276471946,64.3021011352539
57,9373.336853683,87.15128763454844,88.54963160484584,90.76031250602853,0.0005171189739337692,0.08331555873155594,0.39843104972944865,58.590423583984375
58,10256.262166577999,86.50340570099087,87.83951425623256,90.13946051047483,0.00058229770962933,0.09285958111286163,0.4462218976368633,73.52567291259766
59,11140.471216959,85.46704094965085,88.33953141682606,90.02880725324674,0.0007296221265000101,0.11456719040870667,0.5433691271900827,85.4559555053711
60,12021.500010414,96.27768796237471,88.64836636616903,95.90588699272662,0.0020732871266415788,0.27781838178634644,2.792069515855331,371.0391845703125
61,12901.37073148,80.82671005139514,85.64730170994058,90.07260556578059,0.00219168007758481,0.30369818210601807,2.8387939595459817,478.8403015136719
62,13783.727320864,77.50397764509947,84.33560197344814,88.69658481774097,0.0021265217605773187,0.30180466175079346,2.8818179561437693,452.1337585449219
63,14665.340029268,74.87553788908977,83.59237532224147,87.94450829211421,0.002097256690549827,0.29781776666641235,2.953202112370519,419.87060546875
64,15546.711843976,73.59010296203758,82.76084881507524,87.46782732673526,0.0020458923264965395,0.2934783399105072,3.0295052432439817,444.4618225097656
65,16427.505760058,71.90636897694075,82.42410479748878,86.7399831106696,0.0020007859337477915,0.28586629033088684,3.094619274320426,468.04302978515625
66,17308.426762406998,70.56185458373811,81.94114289477993,86.31554590785943,0.001940179845924601,0.29046332836151123,3.1726953980332957,541.7288208007812
