Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,152.29407297400002,215.15493886215828,0.0,0.0
2,305.72409448999997,168.17315652653892,0.0,0.0
3,459.276357712,142.9159536925232,0.0,0.0
4,612.825717509,130.31792278007626,0.0,0.0
5,766.52741866,122.8807337375797,0.0,0.0
6,920.11232522,117.76891452805658,0.0,0.0
7,1073.851126044,113.5614187633946,0.0,0.0
8,1227.500711654,111.39854505972004,0.0,0.0
9,1381.26776289,109.35626532616037,0.0,0.0
10,1534.885785593,106.99041759614741,0.0,0.0
11,1688.75900198,104.7133316709748,0.0,0.0
12,1842.6842298459999,104.27278082763117,0.0,0.0
13,1996.293799027,103.10245991519132,0.0,0.0
14,2150.137081347,102.03930073956946,0.0,0.0
15,2303.76387551,102.26076848897775,0.0,0.0
16,2455.984893414,100.49761233294409,0.0,0.0
17,2609.676815741,99.53870170097362,0.0,0.0
18,2763.44947988,97.25165933822625,0.0,0.0
19,2917.257734231,97.78959952874848,0.0,0.0
20,3069.525300221,98.18741821886378,0.0,0.0
21,3221.803223914,96.15534691395133,0.0,0.0
22,3375.782690126,96.19993318767948,0.0,0.0
23,3528.00176074,97.06986529757484,0.0,0.0
24,3680.309815119,98.41150873028397,0.0,0.0
25,3832.604516382,96.11887755811652,0.0,0.0
26,3986.324453089,94.20287880361208,0.0,0.0
27,4140.086495357001,96.77786648014303,0.0,0.0
28,4292.383537735001,93.47756561445955,0.0,0.0
29,4446.2413283430005,93.98661318965242,0.0,0.0
30,4598.517377885,92.72102097573114,0.0,0.0
31,4752.230542128001,92.55338676743087,0.0,0.0
32,4906.099494568,92.29636922429353,0.0,0.0
33,5059.730132836001,91.97000900280113,0.0,0.0
34,5213.659494947,91.75642747726337,0.0,0.0
35,5367.334403533,93.19142439474919,0.0,0.0
36,5519.631720053,91.82585453688597,0.0,0.0
37,5671.957370601001,91.0777084305584,0.0,0.0
38,5825.658631767001,90.55809946253686,0.0,0.0
39,5979.583825174001,89.81988909932782,0.0,0.0
40,6133.136968373001,90.28814185743984,0.0,0.0
41,6285.476039118001,90.9817250425435,0.0,0.0
42,6437.777923442,90.16563697624312,0.0,0.0
43,6590.028399819001,90.52299819131521,0.0,0.0
44,6742.308203707001,90.58631597556196,0.0,0.0
45,6894.5514417370005,90.243516076562,0.0,0.0
46,7046.827787153001,90.09372711207087,0.0,0.0
47,7199.110328607,90.06905545855895,0.0,0.0
48,7351.413578407,90.2684031673691,0.0,0.0
49,7503.636945507001,88.7661445033055,0.0,0.0
50,7657.287030718,88.44160275081178,0.0,0.0
51,7811.0744349100005,88.90458893441067,0.0,0.0
52,7963.345574909001,88.18238347932726,0.0,0.0
53,8116.967422254001,87.81852519926836,0.0,0.0
54,8270.578455385,88.4272123551645,0.0,0.0
55,8422.819933928,88.84438744963141,0.0,0.0
56,8575.111730104001,88.99784139803606,0.0,0.0
57,9057.482331967001,87.35412343974895,0.0,0.0
58,9937.578382222,88.2845387800984,0.0,0.0
59,10814.435881703,89.55741739197177,0.0,0.0
60,11690.754731298,106.51442500748794,0.0,0.0
61,12566.354075369001,88.96824494480568,0.0,0.0
62,13441.585443619,90.1104636522024,0.0,0.0
63,14316.954695557,89.9668958308557,0.0,0.0
64,15192.281481637001,89.77772445834945,0.0,0.0
65,16067.596686944,89.55862179161247,0.0,0.0
