Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,150.853872832,443.2289377400433,239.9583350910145
2,302.767312309,253.74871670962688,180.21470384979986
3,454.89478418799996,204.94514218111746,155.016787265074
4,607.136263374,180.62985328070434,140.74986368798
5,759.374698587,163.0013185716099,129.9809542807414
6,911.503709072,150.87526165094414,123.62891736292904
7,1063.809612841,139.79185061270394,119.33850529496533
8,1216.095630372,134.27732373011995,116.6942988435342
9,1368.375566729,128.0162437935613,113.29800365495483
10,1520.6284450839998,123.04018027721467,111.34885521891718
11,1672.920423828,118.23957428225933,109.98156714989167
12,1825.187312309,115.48974595976526,107.95616800172301
13,1977.4181869289998,112.21382841013596,103.89633747798327
14,2129.717540313,109.82969994733422,102.50433970664538
15,2282.0844911960003,107.08564196186721,100.30709262064626
16,2434.3710464210003,105.49406605006219,99.81870556722134
17,2586.680204501,103.81674636885523,99.42032066191621
18,2738.997302366,101.95448264009053,99.18061517050343
19,2891.351978789,101.17085560641863,99.25432433429778
20,3042.258023111,99.18344659292693,97.54603974339443
21,3194.633963053,97.70504079166949,98.53119142745992
22,3345.55998925,97.51942031297452,97.7379148432011
23,3496.4692836550003,96.79881655668703,95.95388322209853
24,3648.846801218,95.73164741878767,95.5313459535787
25,3801.2522250790003,94.00122182239318,94.68149983642446
26,3953.661484365,93.32331168136325,94.18823957030898
27,4106.099994728,93.06837904299297,93.27905090150578
28,4258.531633241,92.0604562177538,93.40576342878643
29,4938.288123334,90.79513460950542,91.36948257445617
30,5770.9958607220005,90.2640097583656,107.89225143293537
31,6597.889285191,111.46100035483727,175.01949453446127
32,7424.689705279,133.056823494404,171.77951296975237
33,8251.905929463,131.25705503605917,171.7735996799801
34,9080.31207724,131.59800864556217,171.3790791381644
35,9908.665048945,131.98807547907487,170.13358672905642
36,10735.620819258,131.86128885546782,170.10531859481537
37,11561.830039633,131.02179579484155,164.6992928900994
38,12388.188437137,131.76733508010597,158.7208213149218
39,13214.609075958,132.52033612865768,151.66377505694047
40,14041.059448519,131.7322760023258,143.25775917349466
41,14867.162660431,131.4653897226977,128.68255482927188
42,15693.650882318,131.1814559992998,117.33552270989647
43,16519.937787741,131.44813578627503,110.33071133278906
