Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,299.55645300000003,217.8447913877823,0.0,0.0
2,600.17795804,168.36639538129265,0.0,0.0
3,901.054212674,144.51490426634905,0.0,0.0
4,1201.905156757,132.14502265763366,0.0,0.0
5,1502.762113652,123.55236663377919,0.0,0.0
6,1803.641195325,117.75338797459706,0.0,0.0
7,2104.627857088,114.89015871983095,0.0,0.0
8,2701.700244593,126.14486315970449,0.0,0.0
9,3575.463861068,114.91696663106076,0.0,0.0
10,4449.420596555,111.47810309642779,0.0,0.0
11,5325.7072582,108.60058474694154,0.0,0.0
12,6201.6330162330005,108.98267249197708,0.0,0.0
13,7076.19258036,107.18781106995331,0.0,0.0
14,7951.992142679,105.10609764885828,0.0,0.0
15,8828.121177601,105.02757468750703,0.0,0.0
16,9704.138948443,104.03395935949351,0.0,0.0
17,10580.529614179,103.28409908635967,0.0,0.0
18,11456.648287168,103.22669117215177,0.0,0.0
19,12333.046981810001,101.47883195167927,0.0,0.0
20,13209.139472079,101.64614775597566,0.0,0.0
21,14083.775024815,100.4692646707149,0.0,0.0
22,14959.620613856001,99.85274728142535,0.0,0.0
23,15835.771870734001,99.79253175398937,0.0,0.0
24,16711.853194608,99.2004556652481,0.0,0.0
