Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,24.595763906000002,556.6596805921284,276.2284578271274
2,50.305779682,276.98617639906877,201.2824842211514
3,76.12624711699999,221.12018821775672,173.30460098161728
4,101.996302505,194.88860134360417,157.78039520949795
5,127.758940081,175.53328692012823,147.7808454366079
6,153.557983064,160.9140983822784,140.54226749714348
7,179.36037349900002,153.3842139170755,135.11511542503305
8,205.19719957700002,145.04216595055541,132.34057055600766
9,230.99171963100002,140.006622493521,130.4491423786862
10,256.78706386700003,134.17586125666034,128.70468638010092
11,282.571928726,131.29314157812723,126.59278106330166
12,308.409706416,126.97148986024871,125.01750881433883
13,334.320790962,123.81169485684507,125.0367815488843
14,358.772641738,121.27748909068602,124.1943450122394
15,384.832282727,118.63189185839775,122.9950051210775
16,410.632358436,117.49696658356136,122.87361633514094
17,436.476172212,113.31869378902138,120.09629683435412
18,462.270111684,113.10389999225177,121.01412073006209
19,486.642685019,112.39410187266735,120.99194553474716
20,511.034256231,110.9627874682442,119.10182186889807
21,536.917027859,108.45357213583975,119.29344442818066
22,561.280398544,109.21576923130786,119.75789419189115
23,585.704298382,107.20829864856142,120.12466265895155
24,610.062758635,106.31327646615273,118.9191694162876
25,635.899108982,104.49570868628503,120.79921231086523
26,660.291275644,104.86660285842467,118.87614666578081
27,686.082442644,102.76723016140184,117.50559422749942
28,711.945316365,103.0381678463441,118.21392709230842
29,736.316040155,101.17192322300232,117.20263698406106
30,762.152437554,100.36326026064398,117.17250184478961
31,787.98527197,99.849766483606,117.10337504918508
32,813.817479684,99.61345249796805,117.4150052683798
33,838.183520827,98.19803595637696,119.33434711207812
34,862.550848461,92.22386857645535,113.97865206504355
35,888.417390892,89.90400287361,113.10491071929768
36,914.254004571,89.11102633203085,112.83110284633239
37,940.074215792,87.65715681202654,112.47938182756002
38,965.911675952,86.56884991490953,112.21104512167075
39,991.704741481,86.57031166189809,112.28919662415127
40,1016.052313486,85.63264617826532,111.92899885215223
41,1041.906674579,84.056457017194,111.95158760416757
42,1066.287812784,84.53571702062816,111.57561353178524
43,1092.145223169,83.62809098710818,111.6193242442803
44,1116.508626003,82.7878117250418,111.60398715357366
45,1140.88585729,83.35552161668967,111.39407076040433
46,1166.78776532,82.30193271035425,111.47058685319723
47,1191.168506376,80.86577510784251,111.18400190975954
48,1217.012706913,82.27433210311803,111.22200832133102
49,1241.383014273,81.46521965999216,110.99352281783763
50,1267.24418153,79.98926328083252,110.89731997567672
51,1293.091646451,80.00382103002728,110.92476341991792
52,1317.487209228,79.85405723303283,111.04318411354137
53,1341.877242883,79.24744880173773,110.88098766231845
54,1367.760756046,80.14246558412306,110.96608239486402
55,1392.117412794,79.45931534495033,110.88073662944953
56,1417.929244807,77.97509177875594,110.74316934842125
57,1443.7463447110001,78.86933591771025,110.56170272647621
58,1469.594555942,78.52080866293059,110.6417407916201
59,1493.947468325,77.88838498368996,110.90147313944888
60,1518.312550163,77.19160551388201,110.58313027403446
61,1542.700014953,76.90164566537756,110.56495018621726
62,1567.049382882,78.61010964979872,110.54190250982413
63,1592.904523035,75.76817010054258,110.51879123336788
64,1618.715730988,76.43747226840283,110.67821675692402
65,1643.083364955,76.09110800517642,110.73017526596058
66,1667.459344001,75.26380625806976,110.80676199634692
67,1691.794973139,78.19270734289763,110.70929558015268
68,1716.155058836,75.92388339311073,110.64501458002583
69,1740.51569211,74.86729983028495,110.6257017571584
70,1764.886214029,74.76489743825762,110.6446917191099
71,1789.260781944,74.1993538564353,110.65173799062156
72,1813.639794385,75.28686092741123,110.66565354407496
73,1838.042047858,74.53354656423485,110.68694003650276
74,1862.440362108,74.4594900147037,110.70006549735872
75,1886.82010353,74.82583493730266,110.70528589420934
76,1911.216960851,75.55755949002582,110.72212500623117
77,1935.619695375,74.12087824206647,110.73228781202813
78,1959.989063606,74.35595448950173,110.74048276689292
79,1984.374550955,74.10779172956494,110.74715670730063
80,2515.1464603619997,79.76608305769129,106.99490581177335
81,3300.7513293559996,80.77426233411714,103.47069357260223
82,4085.9256176259996,78.09591779271801,101.44694545616477
83,4871.430790638,76.27284319431087,102.37516930855732
84,5655.579856622,75.73094999012093,102.2612778003324
85,6439.658570212,75.15955951505775,101.929777109804
86,7223.591722852,75.4274263299129,101.72717534263195
87,8007.395933115,75.00798501514089,101.44636133767571
88,8793.029090496999,73.88110265517444,101.2136429903705
89,9578.676513064,74.44942145975315,101.12338875292785
90,10364.29173632,73.69301700241527,101.00401272446815
91,11150.130781361,74.85211549122513,100.84975879358834
92,11935.407596104,73.52442285237377,100.9367753847116
93,12719.422930765999,73.11831911072312,100.83125065011576
94,13504.767283346999,73.63018435502748,100.91959431859493
95,14288.919868529,74.04740233118773,100.86286337934035
96,15072.820720333999,73.54288848555711,100.8466288170311
97,15856.492066936999,73.29117655208248,100.82065762159316
98,16641.500484855,73.90502668683361,100.96977525001505
