Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,300.38267091700004,217.8447913877823,0.0,0.0
2,602.029018582,168.36639538129265,0.0,0.0
3,903.8462471180001,144.51490426634905,0.0,0.0
4,1205.40058579,132.14502265763366,0.0,0.0
5,1506.932698501,123.55236663377919,0.0,0.0
6,1808.54327096,117.75338797459706,0.0,0.0
7,2110.142104342,114.89015871983095,0.0,0.0
8,2411.7435933369998,110.99446351763633,0.0,0.0
9,2713.3103661259997,109.2683541043039,0.0,0.0
10,3014.858421416,106.42466723761316,0.0,0.0
11,3316.449350537,104.62413458309742,0.0,0.0
12,3618.015012801,103.76062382479556,0.0,0.0
13,3919.6578617729997,101.23615286216072,0.0,0.0
14,4221.21821181,99.21052037965157,0.0,0.0
15,4522.836884526,98.5273151583051,0.0,0.0
16,4824.469464314,97.02109237980346,0.0,0.0
17,5126.133658141,96.30938054646542,0.0,0.0
18,5427.729187217,96.13923113414583,0.0,0.0
19,5729.235798175,95.40203592563644,0.0,0.0
20,6031.063185079,94.66814377837707,0.0,0.0
21,6332.68614541,94.44970236092796,0.0,0.0
22,6634.264302211,92.90487043826175,0.0,0.0
23,6936.357267769,93.25931394629252,0.0,0.0
24,7236.627807156,92.85494665234904,0.0,0.0
25,7538.568710556,92.66315403730303,0.0,0.0
26,7840.389148076,92.75860173188498,0.0,0.0
27,8140.50567977,93.54459392387508,0.0,0.0
28,8440.760261887,90.84431532740808,0.0,0.0
29,8742.313399125,90.87185779946334,0.0,0.0
30,9042.514939427,88.95351968805927,0.0,0.0
31,9344.144337709,89.67800334848589,0.0,0.0
32,9644.400600247,89.15378078867306,0.0,0.0
33,9944.614356777,89.49330619283057,0.0,0.0
34,10244.855828031,89.48352503926392,0.0,0.0
35,10545.077548752999,89.08701556865861,0.0,0.0
36,10845.311090672,88.71392929009293,0.0,0.0
37,11147.178787645,88.47487021644883,0.0,0.0
38,11448.640353611,88.16059774792062,0.0,0.0
39,11750.254379947,88.08261988579098,0.0,0.0
40,12051.759934132,87.01527428128011,0.0,0.0
41,12353.402370393,87.26638260509172,0.0,0.0
42,12653.593361882,86.65598123791065,0.0,0.0
43,12955.301263399,86.85411730239746,0.0,0.0
44,13255.483192167,86.29842808581023,0.0,0.0
45,13557.002633695,86.23266405012828,0.0,0.0
46,13858.550057315,86.38470681305303,0.0,0.0
47,14158.844906119,85.97841373724874,0.0,0.0
48,14460.552301121,85.50633640357763,0.0,0.0
49,14762.162621269,85.80163665719203,0.0,0.0
50,15062.414941702,86.10304323178015,0.0,0.0
51,15362.690413242,86.54379654222578,0.0,0.0
52,15662.965618585,86.61296549545898,0.0,0.0
53,15963.093044822,86.59190855674584,0.0,0.0
54,16263.266295901,87.28744374793972,0.0,0.0
