Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,26.646700059,211.32935340390742,0.0,0.0
2,54.495494432,169.4311355489088,0.0,0.0
3,82.237198515,151.03029599390484,0.0,0.0
4,110.120811801,141.24511820255162,0.0,0.0
5,137.913496124,134.99915498325245,0.0,0.0
6,165.561439598,131.2997782810548,0.0,0.0
7,193.42568861200002,129.46578155960108,0.0,0.0
8,221.126871841,127.77662617420248,0.0,0.0
9,248.89958903800002,126.71819773340944,0.0,0.0
10,276.579333973,125.00280705973833,0.0,0.0
11,304.656127448,122.33787931439475,0.0,0.0
12,332.40341929,121.23583632798339,0.0,0.0
13,360.172919035,120.62087066895332,0.0,0.0
14,387.85910086900003,119.3782151523821,0.0,0.0
15,415.62717747,120.13595566831864,0.0,0.0
16,442.008917238,119.14346752627561,0.0,0.0
17,469.998118033,118.82961685585671,0.0,0.0
18,497.844982064,119.2886505023152,0.0,0.0
19,524.1567601549999,117.90414169843802,0.0,0.0
20,552.0310128089999,118.2668925486796,0.0,0.0
21,578.3949767629999,118.38875803359112,0.0,0.0
22,604.7545801599999,118.56116225930569,0.0,0.0
23,631.1121987729999,118.8182041034969,0.0,0.0
24,657.4809082559999,116.63739706519536,0.0,0.0
25,685.1753993059999,116.54022603398187,0.0,0.0
26,712.875025966,116.25502205367363,0.0,0.0
27,740.9114719769999,115.96670110204207,0.0,0.0
28,768.798640711,116.16610743163821,0.0,0.0
29,795.0719116519999,116.88878850329003,0.0,0.0
30,821.34954791,116.14663255019128,0.0,0.0
31,847.5833551029999,116.48280800944706,0.0,0.0
32,873.834611679,115.43348146800307,0.0,0.0
33,901.390458664,115.67798851087326,0.0,0.0
34,927.6466255869999,116.25530684577112,0.0,0.0
35,953.943142279,116.3135688805658,0.0,0.0
36,980.2474050229999,115.25078787487392,0.0,0.0
37,1007.842082678,115.25023566802693,0.0,0.0
38,1035.6078951509999,114.10984436483308,0.0,0.0
39,1063.612665934,114.7811816490373,0.0,0.0
40,1089.9165827489999,114.96429966452273,0.0,0.0
41,1116.188494221,114.15588090292319,0.0,0.0
42,1142.445289259,113.23669141291928,0.0,0.0
43,1170.191183491,112.96753228409223,0.0,0.0
44,1197.839882726,114.37819712653898,0.0,0.0
45,1224.102334789,114.13427911263324,0.0,0.0
46,1250.368867168,112.79147142823577,0.0,0.0
47,1278.109297321,112.88214876070833,0.0,0.0
48,1304.391076506,112.64421281583633,0.0,0.0
49,1331.9845871139999,112.18521817264195,0.0,0.0
50,1359.712027218,112.14329760816902,0.0,0.0
51,1387.373025639,113.16749115376938,0.0,0.0
52,1413.670983926,113.31698104210986,0.0,0.0
53,1439.946565016,113.64354549028383,0.0,0.0
54,1466.260304763,110.72267729845576,0.0,0.0
55,1493.903492899,109.05381239809331,0.0,0.0
56,1521.628523104,108.54925542966093,0.0,0.0
57,1931.541983723,96.70570774219495,0.0,0.0
58,2811.182783197,94.77745863310432,0.0,0.0
59,3689.936297887,94.5490661031518,0.0,0.0
60,4568.902470051,96.2034823084035,0.0,0.0
61,5445.342082446,133.60837696582027,0.0,0.0
62,6320.162416096,94.5873575437043,0.0,0.0
63,7195.983297207,93.5769886439212,0.0,0.0
64,8073.185692614,92.83283602669681,0.0,0.0
65,8951.070799621,92.45871631065722,0.0,0.0
66,9828.888782121001,92.0339618857012,0.0,0.0
67,10707.045362197001,91.83267138996192,0.0,0.0
68,11584.497447629,91.86361395996633,0.0,0.0
69,12459.596882779,91.77361775475944,0.0,0.0
70,13337.376011494001,91.43960815067439,0.0,0.0
71,14214.796167318002,91.57218803218457,0.0,0.0
72,15090.550711423,91.34557819582925,0.0,0.0
73,15968.281982459,91.00195042564282,0.0,0.0
74,16846.660800235,91.00361665495052,0.0,0.0
