Epoch,Total Runtime,Validation Perplexity,Average Convergence Cap,Maximum Convergence Gap
1,153.760969923,215.15493886215828,0.0,0.0
2,308.667433048,168.17315652653892,0.0,0.0
3,463.631995691,142.9159536925232,0.0,0.0
4,618.5304906870001,130.31792278007626,0.0,0.0
5,773.582709873,122.8807337375797,0.0,0.0
6,928.7485744590001,117.76891452805658,0.0,0.0
7,1083.7416671820001,113.5614187633946,0.0,0.0
8,1238.686539712,111.39854505972004,0.0,0.0
9,1393.5945066250001,109.35626532616037,0.0,0.0
10,1548.5991941300001,106.99041759614741,0.0,0.0
11,1703.741252566,104.7133316709748,0.0,0.0
12,1858.629139586,104.27278082763117,0.0,0.0
13,2013.7725237470002,103.10245991519132,0.0,0.0
14,2168.664732878,102.03930073956946,0.0,0.0
15,2323.818640847,102.26076848897775,0.0,0.0
16,2477.457715017,100.49761233294409,0.0,0.0
17,2632.5918711980003,99.53870170097362,0.0,0.0
18,2787.4612063580003,97.25165933822625,0.0,0.0
19,2942.669945136,97.78959952874848,0.0,0.0
20,3096.25225237,98.18741821886378,0.0,0.0
21,3249.863605603,96.15534691395133,0.0,0.0
22,3404.933390896,96.19993318767948,0.0,0.0
23,3558.554629815,97.06986529757484,0.0,0.0
24,3712.2206307,98.41150873028397,0.0,0.0
25,3865.9196787,96.11887755811652,0.0,0.0
26,4021.087983536,94.20287880361208,0.0,0.0
27,4176.259524884,96.77786648014303,0.0,0.0
28,4329.880849623,93.47756561445955,0.0,0.0
29,4484.836744389,93.98661318965242,0.0,0.0
30,4638.50361747,92.72102097573114,0.0,0.0
31,4793.473448134,92.55338676743087,0.0,0.0
32,4948.559545597,92.29636922429353,0.0,0.0
33,5103.697868884,91.97000900280113,0.0,0.0
34,5258.639269438,91.75642747726337,0.0,0.0
35,5413.613292432,93.19142439474919,0.0,0.0
36,5567.264429763,91.82585453688597,0.0,0.0
37,5720.842835342,91.0777084305584,0.0,0.0
38,5875.928017451,90.55809946253686,0.0,0.0
39,6030.801117744,89.81988909932782,0.0,0.0
40,6185.671600608,90.28814185743984,0.0,0.0
41,6339.295246156,90.9817250425435,0.0,0.0
42,6492.837321934,90.16563697624312,0.0,0.0
43,6646.467489839,90.52299819131521,0.0,0.0
44,6800.127740088,90.58631597556196,0.0,0.0
45,6953.706897149,90.243516076562,0.0,0.0
46,7107.340858875,90.09372711207087,0.0,0.0
47,7260.998868197,90.06905545855895,0.0,0.0
48,7414.604334559,90.2684031673691,0.0,0.0
49,7568.246171889,88.7661445033055,0.0,0.0
50,7723.3480603650005,88.44160275081178,0.0,0.0
51,7878.295103794,88.90458893441067,0.0,0.0
52,8031.933691326,88.18238347932726,0.0,0.0
53,8186.946129438,87.81852519926836,0.0,0.0
54,8341.932798753,88.4272123551645,0.0,0.0
55,8495.599342634,88.84438744963141,0.0,0.0
56,8649.255579670998,88.99784139803606,0.0,0.0
57,8802.862219387,88.76556240399812,0.0,0.0
58,8956.477399947,89.62450102544022,0.0,0.0
59,9110.158665080999,90.27874594964422,0.0,0.0
60,9263.775263169999,85.90264546974421,0.0,0.0
61,9418.789765377,85.11378641470303,0.0,0.0
62,9573.799886863999,83.57419684681555,0.0,0.0
63,9728.821829076,82.70437704123502,0.0,0.0
64,9883.853274845998,82.38646625628695,0.0,0.0
65,10038.72072747,82.10868587393148,0.0,0.0
66,10193.866950484,81.9074075232773,0.0,0.0
67,10348.718640079,81.98027909817264,0.0,0.0
68,10502.322018888999,81.57800824531928,0.0,0.0
69,10657.281413237999,81.36320977013371,0.0,0.0
70,10812.263095216,81.82800644177304,0.0,0.0
71,10965.852466499999,80.83004028407969,0.0,0.0
72,11120.782461047,81.38059983260098,0.0,0.0
73,11274.392587917999,80.81535571407362,0.0,0.0
74,11429.367646658,81.03660722302673,0.0,0.0
75,11582.969069708999,81.40061447958661,0.0,0.0
76,11736.610757793998,80.79517404778719,0.0,0.0
77,11891.570192878,80.88930159444436,0.0,0.0
78,12045.229090042,81.12238136686132,0.0,0.0
79,12198.887201521999,80.77931916408735,0.0,0.0
80,12354.018434134,80.75566990954054,0.0,0.0
81,12508.980091350999,81.20229932876222,0.0,0.0
82,12662.599128355,80.85336789717438,0.0,0.0
83,12816.253866022,80.2478633791154,0.0,0.0
84,12971.486461221999,80.19374875843522,0.0,0.0
85,13126.592549928999,80.22497610711228,0.0,0.0
86,13280.221012162,80.09745912223984,0.0,0.0
87,13435.157728704999,79.97770760764614,0.0,0.0
88,13590.200801629999,79.97295135768049,0.0,0.0
89,13745.361388676,79.88888048469074,0.0,0.0
90,13900.603722259999,79.84674225298916,0.0,0.0
91,14055.621305813998,79.84899749867007,0.0,0.0
92,14209.226415902,79.79482257289455,0.0,0.0
93,14364.171430845,79.7650438945586,0.0,0.0
94,14519.330908839,79.78307843705424,0.0,0.0
95,14672.947147391998,79.71203033862538,0.0,0.0
96,14828.118913262999,79.80285356720186,0.0,0.0
97,14981.719080206,79.711875109139,0.0,0.0
98,15136.608072816,79.64706753423657,0.0,0.0
99,15291.512729630998,79.64826357199375,0.0,0.0
100,15445.075142393,79.63438248471834,0.0,0.0
101,15599.964506241,79.67838384429308,0.0,0.0
102,15753.552278457999,79.65564564166911,0.0,0.0
103,15907.12276905,79.7110878349573,0.0,0.0
104,16060.784788547999,79.70592978800384,0.0,0.0
