Epoch,Total Runtime,Training Perplexity,Unrolled Validation Perplexity,DEQ Validation Perplexity,Average Convergence Gap,Maximum Convergence Gap,Average Absolute Convergence Gap,Maximum Absolute Convergence Gap
1,932.5220467,410.5361709751276,214.16099744543422,214.16094868108655,0.00012043883920077925,0.016084695234894753,0.2729702400821132,36.8461799621582
2,1886.060647505,231.38957668894787,165.1232944304871,165.12303845775762,9.46848365915165e-05,0.01521935872733593,0.13082786552610842,21.363842010498047
3,2839.843166146,188.1369695108034,142.2167505764916,142.21666215211647,0.0004288925615497561,0.08060789108276367,0.34829983074304705,67.06275177001953
4,3790.822608456,188.8887702599096,149.4604709541561,149.46060871358677,0.0013071415717893092,0.6411266922950745,3.633648327293129,2187.073974609375
5,4740.466424357,174.49008314324354,132.08500797961105,132.08507421104707,0.0010586053175841905,0.8004672527313232,4.292809517059418,14241.1435546875
6,5692.059105171,153.33689154419784,122.99714885556939,122.997240782086,0.0013482712968465491,0.18688319623470306,3.8469854988227654,572.5791625976562
7,6644.179462469,142.73211820297828,119.172792256144,119.17271708396899,0.0013531330154473407,0.3088535964488983,4.892571754689343,1416.448486328125
8,7596.0717095459995,135.4050829682607,115.12034962811283,115.12032417739151,0.0015756591101505795,0.21655386686325073,5.161980456065651,706.2531127929688
9,8548.064831002,131.9533812456986,112.69490776072877,112.6949617718072,0.0014500961999060747,0.20263874530792236,5.85660597209888,923.7792358398438
10,9499.975099343,127.64088908649425,110.76484329794073,110.76478568041715,0.0014515801952274291,0.20173919200897217,5.560107460934322,836.7047729492188
11,10452.231336317001,123.84346021850028,108.73050256737,108.73034378525122,0.001523970136919678,0.22023671865463257,6.120561278754017,853.207275390625
12,11404.292218867,120.68599317887848,106.8397217985629,106.83974218325551,0.0015632876127989006,0.22275173664093018,6.833232802471684,1244.7996826171875
13,12356.269575103,118.218996471606,105.53538459626249,105.53547230368272,0.0015891661048355716,0.23800347745418549,6.429885338777523,867.6552734375
14,13309.281211432,115.75304896305171,104.17647570773096,104.17631346260941,0.0015632316863706866,0.24762070178985596,7.112359406962442,1154.41259765625
15,14261.204375994,114.5371014679749,103.36187983136846,103.36181180980037,0.0015501207519271923,0.4079892933368683,7.5848553614758885,5048.51318359375
16,15213.146553773,112.25566633491354,103.21566394559538,103.21563219300027,0.0015821237783963694,0.23672032356262207,7.056658254656824,971.1242065429688
17,16165.822697597001,110.56852720095183,102.14312165702678,102.14314362594145,0.0014478895293799326,0.2398129403591156,7.65241113726129,1247.2838134765625
18,17117.770994085,108.33224873870627,101.84581378208766,101.84559670796385,0.0014600128026728556,0.20456595718860626,6.858814828081254,930.5322265625
19,18069.507700269,107.78773547934634,101.24095695006909,101.24093450234072,0.0015716411044446473,0.3344879448413849,7.252884031124375,2779.407958984375
20,19021.305041767002,106.78368173440995,99.87205857261233,99.87205753436028,0.0015056315152678342,0.2189374715089798,7.3755542766091695,1384.6954345703125
