Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,26.813978591,388.9356465188476,212.48561545339155
2,54.666405013,232.87617988465914,169.44618744011765
3,82.576956693,193.9843641330435,150.59679029084717
4,110.479200932,176.11678939205137,141.59640313141787
5,138.376803875,162.82591082117793,135.9548291889571
6,166.247767727,154.30865396414424,131.3067734782718
7,194.36308822,148.6086164975409,129.65437588495107
8,222.271025461,143.61797528685662,127.31116318692341
9,250.182691438,139.19155284444645,125.55293231621157
10,278.088687421,135.264908662177,123.78531143531825
11,305.99301436,133.0766530388379,122.24481036060779
12,333.91982034800003,131.95563532619678,121.3077642749784
13,361.819263467,129.20455514505073,121.03296975026436
14,389.760141418,128.23581870847187,120.06428773330553
15,417.681219204,126.607755388145,120.06116657753192
16,445.611000033,124.58334327844385,118.68881756205597
17,473.535782016,124.14964015748879,118.18036110735893
18,501.441280454,123.25711525358275,117.715468806287
19,705.132256304,122.44193459735781,107.6404126918235
20,1582.240608876,134.8076629914539,116.47273066988791
21,2456.8172159260002,131.32386261015117,108.94390871995935
22,3331.848223628,118.17993291206608,113.75445050134056
23,4206.204066493,112.8041846111969,101.7103881600432
24,5082.379122686,110.04053965144088,101.64593553659286
25,5958.399334656,107.53868843085621,101.14077358149008
26,6834.594576604,105.4510741205956,99.11050272516287
27,7710.567203574,103.53429032454159,98.32373020353688
28,8586.730539286,102.33271403245178,98.98688700488258
29,9461.264605223,101.49693631931163,123.38533863403666
30,10335.914652959998,89.47199274632712,96.30465624482228
31,11211.848434415,85.456689851729,93.33773220755211
32,12087.790789850998,84.10880725024485,101.23222391058486
33,12962.140659268,81.5759086923829,98.02896239049991
34,13836.993886862,80.34795478491645,91.25439586874445
35,14713.078089117998,78.88781256201564,95.0089070973648
36,15587.801163544998,78.20857558600757,94.89000420478528
37,16462.619772219,77.04456976271479,92.29972738710161
