Epoch,Total Runtime,Training Perplexity,Validation Perplexity
1,151.838096239,403.74519485527287,224.74934448662833
2,304.782898816,240.72096735640915,172.30261598597187
3,457.791599667,197.60569873308938,148.56508556969357
4,610.809366475,176.04331482687547,135.8930050332471
5,763.859466734,160.05709660966838,127.27622107978634
6,916.921931031,148.6918711589683,122.41907817124797
7,1069.9908010030001,141.31622359021733,118.75655585439543
8,1223.0560253620001,134.56988963196997,114.95241452962347
9,1376.093707012,128.5392987371403,111.8296567930347
10,1529.158393459,124.16837552558842,110.45563899408634
11,1682.2144891090002,120.41789891437368,107.39911567722645
12,1835.273590466,118.54329571241762,106.69761063855717
13,1988.328694232,114.89977733455068,105.96988811323376
14,2141.3797660289997,113.15944464541788,104.83524148909571
15,2294.447765475,110.99756967606875,101.80174050262274
16,2447.486859237,108.80678105610548,100.18023002663715
17,2600.5647545849997,107.92879144158596,99.50813692505983
18,2753.629202185,106.59641151527316,99.40883227546107
19,3062.533883457,105.686759623894,98.68301045430383
20,3939.634949116,114.62348464159032,101.43132978481512
21,4813.8977495359995,108.13211085100741,99.8646093121865
22,5688.1715341,106.45466553092274,100.0277106375919
23,6562.6141227729995,105.46660376209837,101.44110745252193
24,7437.348612928,105.27657667357416,100.16992462451657
25,8311.973201406,104.47190277606333,100.81335240235455
26,9186.439289504,103.82179869499127,100.12243489185106
27,10060.974556011999,102.8725872260599,100.60230193447697
28,10935.922372382,92.70293616090392,94.84083423401087
29,11811.809035346,88.98045605334721,93.4740268817471
30,12687.586816196,86.61441821724536,92.50153265220753
31,13565.091133028,84.59729440121986,92.04994547592673
32,14442.81875996,84.12459900424368,91.30068376685412
33,15320.152782386,81.99181810881296,90.63901084694717
34,16196.556465524,81.1628607158722,90.46837119298935
